
========== OUTPUT ==========
Cloudlet ID    Cloudlet Length    Priority    STATUS    Data center ID    VM ID    VM Type    Time    Start Time    Finish Time
    7            10000            High      SUCCESS        2            5            High        100        0.1        100.1
    13            10000            High      SUCCESS        2            13            High        100        0.1        100.1
    19            10000            Low       SUCCESS        2            37            Low         100        0.1        100.1
    22            10000            Low       SUCCESS        2            41            Low         100        0.1        100.1
    9            20000            High      SUCCESS        2            9            High        200        0.1        200.1
    14            20000            High      SUCCESS        2            15            High        200        0.1        200.1
    1            20000            Low       SUCCESS        2            21            Low         200        0.1        200.1
    3            20000            Low       SUCCESS        2            23            Low         200        0.1        200.1
    4            20000            Low       SUCCESS        2            25            Low         200        0.1        200.1
    5            20000            Low       SUCCESS        2            27            Low         200        0.1        200.1
    10            20000            Low       SUCCESS        2            29            Low         200        0.1        200.1
    11            20000            Low       SUCCESS        2            31            Low         200        0.1        200.1
    17            20000            Low       SUCCESS        2            33            Low         200        0.1        200.1
    18            20000            Low       SUCCESS        2            35            Low         200        0.1        200.1
    21            20000            Low       SUCCESS        2            39            Low         200        0.1        200.1
    23            20000            Low       SUCCESS        2            43            Low         200        0.1        200.1
    24            20000            Low       SUCCESS        2            45            Low         200        0.1        200.1
    33            10000            Low       SUCCESS        2            47            Low         100        100.1        200.1
    37            10000            Low       SUCCESS        2            51            Low         100        100.1        200.1
    46            10000            Low       SUCCESS        2            57            Low         100        100.1        200.1
    31            10000            High      SUCCESS        2            15            High        100        200.1        300.1
    34            20000            Low       SUCCESS        2            49            Low         200        100.1        300.1
    38            20000            Low       SUCCESS        2            53            Low         200        100.1        300.1
    43            20000            Low       SUCCESS        2            55            Low         200        100.1        300.1
    47            20000            Low       SUCCESS        2            59            Low         200        100.1        300.1
    48            20000            Low       SUCCESS        2            61            Low         200        100.1        300.1
    61            10000            Low       SUCCESS        2            71            Low         100        200.1        300.1
    70            10000            Low       SUCCESS        2            75            Low         100        200.1        300.1
    78            10000            Low       SUCCESS        2            79            Low         100        200.1        300.1
    79            10000            Low       SUCCESS        2            81            Low         100        200.1        300.1
    6            40000            High      SUCCESS        2            3            High        400        0.1        400.1
    30            30000            High      SUCCESS        2            13            High        300        100.1        400.1
    49            10000            High      SUCCESS        2            15            High        100        300.1        400.1
    102            10000            Low       SUCCESS        2            29            Low         100        300.1        400.1
    50            20000            Low       SUCCESS        2            63            Low         200        200.1        400.1
    52            20000            Low       SUCCESS        2            65            Low         200        200.1        400.1
    53            20000            Low       SUCCESS        2            67            Low         200        200.1        400.1
    56            20000            Low       SUCCESS        2            69            Low         200        200.1        400.1
    67            20000            Low       SUCCESS        2            73            Low         200        200.1        400.1
    72            20000            Low       SUCCESS        2            77            Low         200        200.1        400.1
    80            10000            Low       SUCCESS        2            83            Low         100        300.1        400.1
    82            10000            Low       SUCCESS        2            87            Low         100        300.1        400.1
    86            10000            Low       SUCCESS        2            91            Low         100        300.1        400.1
    87            10000            Low       SUCCESS        2            93            Low         100        300.1        400.1
    89            10000            Low       SUCCESS        2            95            Low         100        300.1        400.1
    90            10000            Low       SUCCESS        2            97            Low         100        300.1        400.1
    93            10000            Low       SUCCESS        2            99            Low         100        300.1        400.1
    26            40000            High      SUCCESS        2            5            High        400        100.1        500.1
    64            10000            High      SUCCESS        2            15            High        100        400.1        500.1
    95            20000            Low       SUCCESS        2            21            Low         200        300.1        500.1
    96            20000            Low       SUCCESS        2            23            Low         200        300.1        500.1
    98            20000            Low       SUCCESS        2            25            Low         200        300.1        500.1
    101            20000            Low       SUCCESS        2            27            Low         200        300.1        500.1
    109            10000            Low       SUCCESS        2            31            Low         100        400.1        500.1
    117            10000            Low       SUCCESS        2            35            Low         100        400.1        500.1
    119            10000            Low       SUCCESS        2            37            Low         100        400.1        500.1
    123            10000            Low       SUCCESS        2            41            Low         100        400.1        500.1
    124            10000            Low       SUCCESS        2            43            Low         100        400.1        500.1
    127            10000            Low       SUCCESS        2            47            Low         100        400.1        500.1
    128            10000            Low       SUCCESS        2            49            Low         100        400.1        500.1
    129            10000            Low       SUCCESS        2            51            Low         100        400.1        500.1
    132            10000            Low       SUCCESS        2            55            Low         100        400.1        500.1
    140            10000            Low       SUCCESS        2            61            Low         100        400.1        500.1
    81            20000            Low       SUCCESS        2            85            Low         200        300.1        500.1
    85            20000            Low       SUCCESS        2            89            Low         200        300.1        500.1
    2            60000            High      SUCCESS        2            1            High        600        0.1        600.1
    25            20000            High      SUCCESS        2            3            High        200        400.1        600.1
    8            60000            High      SUCCESS        2            7            High        600        0.1        600.1
    28            40000            High      SUCCESS        2            9            High        400        200.1        600.1
    115            20000            Low       SUCCESS        2            33            Low         200        400.1        600.1
    122            20000            Low       SUCCESS        2            39            Low         200        400.1        600.1
    126            20000            Low       SUCCESS        2            45            Low         200        400.1        600.1
    130            20000            Low       SUCCESS        2            53            Low         200        400.1        600.1
    135            20000            Low       SUCCESS        2            57            Low         200        400.1        600.1
    138            20000            Low       SUCCESS        2            59            Low         200        400.1        600.1
    142            10000            Low       SUCCESS        2            65            Low         100        500.1        600.1
    144            10000            Low       SUCCESS        2            67            Low         100        500.1        600.1
    147            10000            Low       SUCCESS        2            71            Low         100        500.1        600.1
    151            10000            Low       SUCCESS        2            75            Low         100        500.1        600.1
    153            10000            Low       SUCCESS        2            79            Low         100        500.1        600.1
    156            10000            Low       SUCCESS        2            81            Low         100        500.1        600.1
    27            10000            High      SUCCESS        2            7            High        100        600.1        700.1
    12            70000            High      SUCCESS        2            11            High        700        0.1        700.1
    159            20000            High      SUCCESS        2            16            High        200        500.1        700.1
    193            10000            Low       SUCCESS        2            29            Low         100        600.1        700.1
    194            10000            Low       SUCCESS        2            31            Low         100        600.1        700.1
    197            10000            Low       SUCCESS        2            33            Low         100        600.1        700.1
    141            20000            Low       SUCCESS        2            63            Low         200        500.1        700.1
    145            20000            Low       SUCCESS        2            69            Low         200        500.1        700.1
    149            20000            Low       SUCCESS        2            73            Low         200        500.1        700.1
    152            20000            Low       SUCCESS        2            77            Low         200        500.1        700.1
    161            20000            Low       SUCCESS        2            83            Low         200        500.1        700.1
    164            20000            Low       SUCCESS        2            85            Low         200        500.1        700.1
    170            10000            Low       SUCCESS        2            87            Low         100        600.1        700.1
    171            10000            Low       SUCCESS        2            89            Low         100        600.1        700.1
    173            10000            Low       SUCCESS        2            91            Low         100        600.1        700.1
    174            10000            Low       SUCCESS        2            93            Low         100        600.1        700.1
    181            10000            Low       SUCCESS        2            97            Low         100        600.1        700.1
    20            20000            High      SUCCESS        2            1            High        200        600.1        800.1
    40            30000            High      SUCCESS        2            5            High        300        500.1        800.1
    185            20000            Low       SUCCESS        2            21            Low         200        600.1        800.1
    189            20000            Low       SUCCESS        2            23            Low         200        600.1        800.1
    190            20000            Low       SUCCESS        2            25            Low         200        600.1        800.1
    192            20000            Low       SUCCESS        2            27            Low         200        600.1        800.1
    201            20000            Low       SUCCESS        2            35            Low         200        600.1        800.1
    202            10000            Low       SUCCESS        2            37            Low         100        700.1        800.1
    204            10000            Low       SUCCESS        2            39            Low         100        700.1        800.1
    207            10000            Low       SUCCESS        2            43            Low         100        700.1        800.1
    208            10000            Low       SUCCESS        2            45            Low         100        700.1        800.1
    210            10000            Low       SUCCESS        2            47            Low         100        700.1        800.1
    211            10000            Low       SUCCESS        2            49            Low         100        700.1        800.1
    214            10000            Low       SUCCESS        2            53            Low         100        700.1        800.1
    219            10000            Low       SUCCESS        2            55            Low         100        700.1        800.1
    225            10000            Low       SUCCESS        2            61            Low         100        700.1        800.1
    229            10000            Low       SUCCESS        2            65            Low         100        700.1        800.1
    232            10000            Low       SUCCESS        2            69            Low         100        700.1        800.1
    233            10000            Low       SUCCESS        2            71            Low         100        700.1        800.1
    176            20000            Low       SUCCESS        2            95            Low         200        600.1        800.1
    183            20000            Low       SUCCESS        2            99            Low         200        600.1        800.1
    45            50000            High      SUCCESS        2            13            High        500        400.1        900.1
    261            10000            Low       SUCCESS        2            25            Low         100        800.1        900.1
    205            20000            Low       SUCCESS        2            41            Low         200        700.1        900.1
    212            20000            Low       SUCCESS        2            51            Low         200        700.1        900.1
    220            20000            Low       SUCCESS        2            57            Low         200        700.1        900.1
